,epoch,total time,train loss,val loss,test loss,train Accuracy,val Accuracy,test Accuracy
0,0,32.06475901603699,0.49893686264043763,0.4531425297260284,0.46203633894522983,0.768870452797651,0.7934229414067597,0.7871577574967406
1,1,38.746758699417114,0.4601489647868134,0.45360430553555486,0.4575910245378812,0.7910559064109436,0.7956413937100353,0.7923728813559322
2,2,45.47197723388672,0.4561784692286026,0.45943667069077493,0.4631767322619756,0.7934795273939084,0.7960328852929662,0.7923728813559322
3,3,51.95348143577576,0.45352052560164813,0.45413383493820825,0.457463163882494,0.7941553447833889,0.7961633824872765,0.7953063885267275
4,4,58.492924213409424,0.45100088754580137,0.4492031308511893,0.4549819454550743,0.7952739390832188,0.796359128278742,0.7930247718383312
5,5,65.62113547325134,0.4512073416262865,0.45486029287179314,0.4589014674226443,0.7952273309873925,0.79759885162469,0.8005215123859192
6,6,72.42081117630005,0.45103591547480654,0.465555223574241,0.4709758646786213,0.7973246952995735,0.7915959806864152,0.7884615384615384
7,7,78.94502544403076,0.4506671777261155,0.4736750158170859,0.4765007657309373,0.7964158374309618,0.7865718387054679,0.7884615384615384
8,8,86.11656332015991,0.45231238362335024,0.4445415494342645,0.44976330424348515,0.7950175945561744,0.8002087955108965,0.796284224250326
9,9,93.4346570968628,0.44972489809706095,0.44685791606704395,0.4503590365250905,0.7976742560182704,0.7958371395015007,0.7959582790091264
10,10,100.63115954399109,0.44892791906992596,0.45824952771266303,0.45893144607543945,0.7975577357787048,0.7979903432076211,0.8011734028683182
11,11,108.17293930053711,0.4478605989189375,0.45365679810444515,0.4591053252418836,0.7977674722099228,0.7980555918047761,0.7943285528031291
12,12,115.43564534187317,0.4487896685798963,0.45563081204891204,0.4594670074681441,0.7966255738621799,0.7964243768758972,0.7878096479791395
13,13,122.04374051094055,0.44797959968092893,0.45674811700979867,0.46517372131347656,0.7986996341264477,0.8005350384966723,0.7949804432855281
14,14,129.61471486091614,0.4486615698607195,0.45023352317512033,0.45444490884741146,0.7986297219827084,0.7944669189612423,0.7936766623207301
15,15,136.5737020969391,0.449153660752234,0.45969299177328743,0.4605267370740573,0.7966255738621799,0.7941406759754666,0.7979139504563233
16,16,144.13175296783447,0.44732819674980073,0.45006426659723126,0.45402340839306515,0.7976975600661835,0.795119404932794,0.7949804432855281
17,17,151.58660578727722,0.4515965726403963,0.44863434533278146,0.45672250414888066,0.7956001957540024,0.8000782983165862,0.7979139504563233
18,18,158.86461329460144,0.44845378895600635,0.44822049389282864,0.453275915235281,0.7969285264850504,0.7960328852929662,0.7943285528031291
19,19,166.2812910079956,0.4520258997522649,0.4644997827708721,0.46523353705803555,0.7954836755144369,0.7826569228761582,0.7855280312907431
20,20,173.76036834716797,0.4392381040822892,0.445985621586442,0.45133430883288383,0.8013795996364569,0.8007307842881378,0.7930247718383312
21,21,180.58590698242188,0.4374291398340747,0.44441545332471527,0.44573093950748444,0.803104099182028,0.8023619992170168,0.7982398956975228
22,22,187.5038936138153,0.4343613860685201,0.4457906376570463,0.4495302488406499,0.8030108829903754,0.7985123319848624,0.7926988265971316
23,23,194.28580498695374,0.4335638658986205,0.4451395229746898,0.45102693637212116,0.8054345039733402,0.7985123319848624,0.7940026075619296
24,24,201.24265694618225,0.4355812866595529,0.4445323641101519,0.4454405518869559,0.8007736943907157,0.8021662534255514,0.7988917861799217
25,25,208.1159336566925,0.4345134701579809,0.44684813395142553,0.4472902963558833,0.8045955582484677,0.800013049719431,0.8011734028683182
26,26,214.89471459388733,0.4352304173544759,0.44916463444630306,0.45299361025293666,0.8048052946796859,0.7945974161555527,0.788787483702738
27,27,221.6141128540039,0.4361707941584644,0.44419420150419076,0.445390485227108,0.8031507072778542,0.7994258123450346,0.7930247718383312
28,28,228.47104787826538,0.43492239110526587,0.44541300150255364,0.4494767052431901,0.8033371396611592,0.8000782983165862,0.7936766623207301
29,29,235.23097443580627,0.43323503408048836,0.44451899963120617,0.44798753162225086,0.8035934841882035,0.8008612814824482,0.7975880052151239
